ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
29380,shift0013,Polysemy,44,NEW,→,"to calculate, count",2393,to have opinion,2752,Croatian,812,Croatian,812,"to calculate, count",to have opinion,računati,računati
29386,shift0013,Derivation,50,NEW,→,"to calculate, count",2393,to have opinion,2752,Bulgarian,110,Bulgarian,110,"to calculate, count",to be considered,броя,броя се
29387,shift0013,Polysemy,51,NEW,→,"to calculate, count",2393,to have opinion,2752,Bulgarian,110,Bulgarian,110,"to calculate, count","to think, to suggest",сметна,сметна
29401,shift8224,Polysemy,4,ACCEPTED,→,activity,1940,"commerce, business",1046,Russian,157,Russian,157,"job, affair, thing",business,delo,delo
29405,shift6045,Polysemy,3,NEW,→,important,1746,"respected, venerable",1462,Russian,157,Russian,157,important,"(person) of high status, position",важный,важный
29408,shift2385,Derivation,2,ACCEPTED,→,to croak,2476,to predict misfortune,2998,Russian,157,Russian,157,to caw,to evoke evil by prophecying it [by talking about it],каркать (karkat&#39;),накаркать (nakarkat&#39;)
29443,shift1345,Derivation,2,ACCEPTED,→,to dive,2540,&lt;swimming bird&gt;,3904,Russian,157,Russian,157,to dive,a bird from the anatides family,nyrjat&#39;,nyrok
29446,shift1744,Polysemy,1,ACCEPTED,→,to burn (intr.),2384,"spot, stain",4220,Russian,157,Russian,157,to burn,spot on an animal's fur,palit&#39;,podpalina
29480,shift2029,Polysemy,6,NEW,→,to stand up,3216,to be resurrected,2295,Serbian,1093,Serbian,1093,to stand up,to be resurrected,устати (ustati),устати (ustati)
29492,shift7898,Semantic evolution,1,ACCEPTED,→,to lose one&#39;s mind,2871,to be surprised,2305,Russian,157,Russian,157,to lose one's mind,to be surprised,изумляться (izumlât’sâ),изумляться (izumlât’sâ)
29494,shift7898,Polysemy,3,SUSPENDED,→,to lose one&#39;s mind,2871,to be surprised,2305,Russian,157,Russian,157,to lose one's mind,to be surprised,обалдеть (obaldet’),обалдеть (obaldet’)’
29495,shift7898,Polysemy,4,ACCEPTED,→,to lose one&#39;s mind,2871,to be surprised,2305,Russian,157,Russian,157,to cause to lose one's mind,to be surprised,ошеломить (ošelomit’),ошеломить (ošelomit’)
29498,shift3070,Cognates,1,ACCEPTED,—,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,orthopterous insect,kobylka,kobylka
29499,shift3070,Cognates,2,ACCEPTED,—,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,grasshopper,konik,konik
29500,shift3070,Polysemy,3,ACCEPTED,←,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,grasshopper,skačok,skačok
29501,shift3070,Cognates,4,ACCEPTED,—,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,grasshopper,veretno,veretno
29502,shift3070,Cognates,5,ACCEPTED,—,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,grasshopper,strekoza,strekoza
29503,shift3070,Polysemy,6,ACCEPTED,—,dragonfly,4476,&lt;orthopteran&gt;,4509,Russian,157,Russian,157,dragonfly,grasshopper,kuznec,kuznec
29509,shift4403,Polysemy,5,NEW,→,big,3588,"grown-up, adult",852,Serbian,1093,Serbian,1093,big,"grown-up, adult",velik (велик),velik (велик)
29510,shift4403,Polysemy,6,NEW,→,big,3588,"grown-up, adult",852,Croatian,812,Croatian,812,big,"grown-up, adult",velik,velik
29526,shift3511,Derivation,2,ACCEPTED,→,day,4391,to guard,2731,Russian,157,Russian,157,day,soldier on duty,den&#39;,dneval&#39;nyj
29546,shift3799,Polysemy,2,ACCEPTED,→,mushroom,748,Boletus edulis,3644,Russian,157,Russian,157,mushroom,Boletus edulis,гриб,гриб
29602,shift0711,Derivation,6,SUSPENDED,—,"to stick, adhere",3223,"to fight, scuffle",2625,Russian,157,Russian,157,to mould,"to hit, to blow",lepit&#39;,"vlepit&#39;, zalepit&#39;"
29608,shift2269,Polysemy,2,ACCEPTED,→,to eat,2569,to consume,2454,Russian,157,Russian,157,"to eat, to devour",to consume,жрать (žrat&#39;),жрать (žrat&#39;)
29645,shift8363,Polysemy,3,ACCEPTED,→,"queen, princess",1906,bride,3687,Ukrainian,138,Ukrainian,138,princess,(dialect) bride after engagement,княгиня,княгиня
29646,shift8363,Polysemy,4,ACCEPTED,→,"queen, princess",1906,bride,3687,Belarusan,242,Belarusan,242,princess,(dialect) bride after engagement,княгіня,княгіня
29647,shift8363,Polysemy,5,ACCEPTED,→,"queen, princess",1906,bride,3687,Russian,157,Russian,157,princess,(dialect) bride at the wedding,"княгиня, княжна","княгиня, княжна"
29648,shift8363,Polysemy,6,ACCEPTED,→,"queen, princess",1906,bride,3687,Lower Sorbian,9,Lower Sorbian,9,princess,bride after the announcement of the engagement in the church on Sunday before the wedding,kněžna,kněžna
29649,shift8207,Polysemy,1,NEW,→,to lie (posture),2848,to hatch eggs,2740,Bulgarian,110,Bulgarian,110,to lie (posture),to hatch eggs,лежа,лежа
29650,shift8207,Polysemy,2,NEW,→,to lie (posture),2848,to hatch eggs,2740,Serbian,1093,Serbian,1093,to lie (posture),to hatch eggs,лежати,лежати
29656,shift0978,Polysemy,5,NEW,→,to hit the target,2769,to guess,2732,Serbian,1093,Serbian,1093,to hit the target,to guess,погодити (pogoditi),погодити (pogoditi)
29657,shift0978,Polysemy,6,NEW,→,to hit the target,2769,to guess,2732,Croatian,812,Croatian,812,to hit the target,to guess,pogoditi,pogoditi
29665,shift0639,Polysemy,4,ACCEPTED,?,to ripen,3089,to become ready (of food),2321,Russian,157,Russian,157,"to be cooked, to be boiled",to ripen,pospevat&#39;,pospevat&#39;
29678,shift8051,Polysemy,3,ACCEPTED,—,twin,3471,conjoined fruits,1080,Belarusan,242,Belarusan,242,(dialect) twins,(dialect) conjoined ears,блызнета,блызнета
29679,shift8051,Polysemy,4,ACCEPTED,→,twin,3471,conjoined fruits,1080,Bulgarian,110,Bulgarian,110,twin,conjoined ears,близнаци,близнаци
29683,shift4711,Polysemy,1,NEW,→,to scratch (with nails),3116,to run away,3102,Russian,157,Russian,157,to scratch (with nails),to run away,драпать,драпать
29688,shift4848,Polysemy,1,ACCEPTED,—,body part,3642,member,631,Russian,157,Russian,157,body part,member (of organisation),член (člen),член (člen)
29697,shift7265,Polysemy,1,ACCEPTED,→,hour,1675,"class, lesson",991,Serbian,1093,Serbian,1093,hour,"class, lesson",час (čas),час (čas)
29698,shift7265,Polysemy,2,ACCEPTED,→,hour,1675,"class, lesson",991,Serbian,1093,Serbian,1093,hour,"class, lesson",сат (sat),сат (sat)
29700,shift7265,Polysemy,4,ACCEPTED,→,hour,1675,"class, lesson",991,Ukrainian,138,Ukrainian,138,hour,"class, lesson",година,година
29701,shift7265,Polysemy,5,ACCEPTED,→,hour,1675,"class, lesson",991,Croatian,812,Croatian,812,hour,"class, lesson",sat,sat
29704,shift5218,Internal cognates,2,ACCEPTED,→,head,1578,chapter (of a book),943,Russian,157,Russian,157,head,chapter (of a book),голова,глава
29707,shift5218,Polysemy,5,NEW,→,head,1578,chapter (of a book),943,Bulgarian,110,Bulgarian,110,head,chapter (of a book),глава,глава
29708,shift5218,Polysemy,6,NEW,→,head,1578,chapter (of a book),943,Macedonian,118,Macedonian,118,head,chapter (of a book),глава,глава
29712,shift5218,Polysemy,10,NEW,→,head,1578,chapter (of a book),943,Serbian,1093,Serbian,1093,head,chapter (of a book),глава (glava),глава (glava)
29713,shift5218,Polysemy,11,NEW,→,head,1578,chapter (of a book),943,Croatian,812,Croatian,812,head,chapter (of a book),glava,glava
29725,shift2634,Polysemy,1,NEW,→,"grain, seed",823,"rash, eruption",1429,Russian,157,Russian,157,"grain, seed",blemish,zërnyško,zërnyško
29726,shift2634,Polysemy,2,NEW,→,"grain, seed",823,"rash, eruption",1429,Russian,157,Russian,157,corn,"pimple, blotch on the domestic animal tongue",žito,žito
29728,shift1125,Derivation,1,ACCEPTED,→,to shave,3140,to draft (for the army),2547,Russian,157,Russian,157,to shave,to be called up for military service,brit&#39;,zabrit&#39;
29741,shift1294,Polysemy,11,NEW,→,"many, much",584,very,3761,Serbian,1093,Serbian,1093,"many, much",very,пуно (puno),пуно (puno)
29742,shift1294,Polysemy,12,NEW,→,"many, much",584,very,3761,Croatian,812,Croatian,812,"many, much",very,puno,puno
29743,shift1294,Polysemy,13,NEW,→,"many, much",584,very,3761,Serbian,1093,Serbian,1093,"many, much",very,много (mnogo),много (mnogo)
29744,shift1294,Polysemy,14,NEW,→,"many, much",584,very,3761,Croatian,812,Croatian,812,"many, much",very,mnogo,mnogo
29745,shift1294,Polysemy,15,NEW,→,"many, much",584,very,3761,Ukrainian,138,Ukrainian,138,"many, much",very,багато,багато
29757,shift5176,Polysemy,5,ACCEPTED,→,to sail,3107,to soar,3185,Russian,157,Russian,157,to sail,to soar (of clouds),плыть (plyt&#39;),плыть (plyt&#39;)
29765,shift1807,Derivation,1,ACCEPTED,→,to see/to look at,3121,to guard,2731,Russian,157,Russian,157,to see,to guard,zret&#39;,nadzirat&#39;
29776,shift7105,Polysemy,2,ACCEPTED,—,vineyard,3767,garden,766,Russian,157,Russian,157,(dialect) vineyard,(dialect) garden,бага,бага
29780,shift1932,Derivation,2,NEW,→,to defecate,2502,to waste,3357,Russian,157,Russian,157,"to shit, to poop",to piss away,srat&#39;,prosrat&#39;
29792,shift0885,Polysemy,2,ACCEPTED,?,to burn (intr.),2384,to incur losses,2787,Russian,157,Russian,157,to be burned out,to get the short end of the stick,pogoret&#39;,pogoret&#39;
29802,shift1317,Polysemy,4,ACCEPTED,?,to sit down,3161,"to set (of Moon, Sun)",3129,Russian,157,Russian,157,to sit down,to go down,sadit&#39;sja,sadit&#39;sja
29826,shift1394,Polysemy,5,ACCEPTED,→,donkey,4463,fool,1336,Bulgarian,110,Bulgarian,110,donkey,fool,magare,magare
29828,shift1394,Polysemy,7,ACCEPTED,?,donkey,4463,fool,1336,Russian,157,Russian,157,donkey,stupid person,osel,osel
29835,shift1394,Polysemy,14,NEW,→,donkey,4463,fool,1336,Serbian,1093,Serbian,1093,donkey,fool,магарац (magarac),магарац (magarac)
29836,shift1394,Polysemy,15,NEW,→,donkey,4463,fool,1336,Croatian,812,Croatian,812,donkey,fool,magarac,magarac
29851,shift6503,Derivation,1,ACCEPTED,→,May,609,cockchafer,1024,Russian,157,Russian,157,May,cockchafer,май,майский жук
29853,shift6503,Derivation,3,ACCEPTED,→,May,609,cockchafer,1024,Bulgarian,110,Bulgarian,110,May,cockchafer,май,майски бръмбар
29854,shift6503,Derivation,4,ACCEPTED,→,May,609,cockchafer,1024,Belarusan,242,Belarusan,242,May,cockchafer,май,майскі жук
29855,shift6503,Derivation,5,ACCEPTED,→,May,609,cockchafer,1024,Ukrainian,138,Ukrainian,138,May,cockchafer,травень,хрущ травневий
29860,shift6503,Derivation,10,ACCEPTED,→,May,609,cockchafer,1024,Polish,171,Polish,171,May,cockchafer,maj,chrabąszcz majowy
29867,shift6503,Derivation,17,ACCEPTED,→,May,609,cockchafer,1024,Serbian,1093,Serbian,1093,May (adj.),cockchafer,мајски,мајска буба
29868,shift6503,Derivation,18,ACCEPTED,→,May,609,cockchafer,1024,Slovenian,190,Slovenian,190,May (adj.),cockchafer,majski,majski hrošč
29871,shift6503,Derivation,21,ACCEPTED,→,May,609,cockchafer,1024,Upper Sorbian,364,Upper Sorbian,364,May (adj.),cockchafer,mejski,mejski bruk
