ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
29490,shift5505,Derivation,2,ACCEPTED,→,"nut, hazel",1898,Eurasian nuthatch,3861,Swedish,135,Swedish,135,"nut, hazel",Eurasian nuthatch,nöt,nötväcka
29493,shift7898,Polysemy,2,ACCEPTED,→,to lose one&#39;s mind,2871,to be surprised,2305,English,153,English,153,to be unable to think clearly,"to be surprised, shocked",to be stupefied,to be stupefied
29496,shift7898,Polysemy,5,ACCEPTED,—,to lose one&#39;s mind,2871,to be surprised,2305,English,153,English,153,to deprive of consciousness or strength,to be surprised,to stun,to stun
29533,shift3406,Semantic evolution,1,ACCEPTED,→,mind (n.),667,joke,1194,German,169,German,169,knowledge,joke,Witz,Witz
29534,shift3406,Polysemy,2,ACCEPTED,→,mind (n.),667,joke,1194,Yiddish,341,Yiddish,341,wisdom,pleasantry,chóchme,chóchme
29535,shift3406,Polysemy,3,NEW,→,mind (n.),667,joke,1194,German,169,German,169,perspicacity,wittiness,Scharfsinn,Scharfsinn
29552,shift5054,Polysemy,1,ACCEPTED,→,to speak,3193,to correspond,2464,German,169,German,169,to speak,to be compatible,sprechen,entsprechen
29579,shift5222,Polysemy,2,ACCEPTED,→,sky,4106,bed canopy,3550,German,169,German,169,sky,bed canopy,Himmel,Himmel
29580,shift5222,Polysemy,3,ACCEPTED,→,sky,4106,bed canopy,3550,Norwegian,24,Norwegian,24,sky,bed canopy,himmel,himmel
29581,shift5222,Polysemy,4,ACCEPTED,→,sky,4106,bed canopy,3550,Danish,173,Danish,173,sky,bed canopy,himmel,himmel
29582,shift5222,Polysemy,5,ACCEPTED,→,sky,4106,bed canopy,3550,Swedish,135,Swedish,135,sky,bed canopy,himmel,himmel
29583,shift5222,Polysemy,6,ACCEPTED,→,sky,4106,bed canopy,3550,Icelandic,252,Icelandic,252,sky,bed canopy,himinn,himinn
29620,shift4371,Derivation,1,ACCEPTED,→,to sink into,3159,anchor,1991,Old High German,147,Old High German,147,to sink,anchor,senken,"senchil, senchila"
29627,shift2829,Polysemy,3,ACCEPTED,→,bone marrow,3646,core (of plant),1096,German,169,German,169,marrow,core (of a plant),Mark,Mark
29636,shift2499,Polysemy,2,NEW,—,to drill,2556,pain,284,German,169,German,169,to bore,to bore (pain),bohren,bohren
29637,shift4866,Polysemy,1,NEW,→,club (a weapon),1013,clubs (in cards),1015,English,153,English,153,"a heavy stick with a thick end, used as a weapon","one of the four suits in a conventional pack of playing cards, denoted by a black trefoil",club,clubs
29670,shift4104,Polysemy,1,NEW,—,soaked in sauce,4146,experienced,3887,English,153,English,153,soaked in sauce,"toughened by being in a challening situation for a long time, specifically a military conflict",seasoned,seasoned
29682,shift8051,Polysemy,7,ACCEPTED,—,twin,3471,conjoined fruits,1080,Dutch,255,Dutch,255,twin,"conjoined fruits (""twee tezamen gegroeide vruchten"")",tweeling,tweeling
29692,shift4848,Polysemy,5,NEW,→,body part,3642,member,631,German,169,German,169,body part,member,Glied,Glied
29718,shift4022,Polysemy,1,ACCEPTED,→,father,1242,defender,4407,English,153,English,153,father,defender,father,father
29738,shift1294,Semantic evolution,8,ACCEPTED,→,"many, much",584,very,3761,Norwegian,24,Norwegian,24,many,very,meget,meget
29739,shift1294,Semantic evolution,9,ACCEPTED,→,"many, much",584,very,3761,Danish,173,Danish,173,many,very,meget,meget
