ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
24841,shift6036,Polysemy,1,NEW,→,thumb,2188,claw (of a crustacean),996,Irish Gaelic,210,Irish Gaelic,210,"thumb, big toe",claw (of a crustacean),ordóg,ordóg
24901,shift4331,Polysemy,25,ACCEPTED,→,mouse,733,computer mouse,1076,Breton,209,Breton,209,mouse,mouse (computer),logodenn,logodenn
24936,shift4677,Derivation,1,NEW,→,needle,1841,dragonfly,4476,Irish Gaelic,210,Irish Gaelic,210,needle,dragonfly,snáthaid,snáthaid mhór
25013,shift8171,Motivation,2,ACCEPTED,→,willow,85,willowherb,87,Welsh,208,Welsh,208,willow,willowherb,helyg,helyglys
25318,shift3974,Derivation,8,ACCEPTED,→,fisherman,1302,osprey (Pandion haliaёtus),4565,Scottish Gaelic,863,Scottish Gaelic,863,fishing,osprey (Pandion haliaёtus),iasgaich,iolair-iasgaich
25363,shift1705,Derivation,1,ACCEPTED,?,to push,3024,ram,1425,Welsh,208,Welsh,208,to push,ram,hwrrd,hwrrd
25571,shift7794,Polysemy,2,NEW,—,ankle,2002,fetlock,1264,Irish Gaelic,210,Irish Gaelic,210,ankle,fetlock,rúitín,rúitín
25735,shift1043,Polysemy,8,ACCEPTED,→,to drag,2548,to steal,3220,Welsh,208,Welsh,208,to drag (away),to steal,dygaf,dygaf
25761,shift2652,Derivation,1,NEW,→,heat (n.),1590,to feel hunger,2616,Old Irish,229,Old Irish,229,heat,hunger,gorim,gorte
25851,shift1551,Polysemy,2,NEW,→,one (unit),4542,ace (playing card),1933,Scottish Gaelic,863,Scottish Gaelic,863,one,ace (playing card),aon,aon
25852,shift1551,Polysemy,3,NEW,→,one (unit),4542,ace (playing card),1933,Manx,895,Manx,895,one,ace (playing card),"unnane (&#39;nane, nane)","unnane (&#39;nane, nane)"
