ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
28783,shift2700,Polysemy,2,ACCEPTED,→,"rope, cord",1504,unit of length,528,Ancient Greek,116,Ancient Greek,116,"(тростниковая) веревка, бечева, канат","Egyptian length unit = 30 stadia, i.e. About 5.5 km",σχοῖνος,σχοῖνος
28798,shift7982,Polysemy,1,NEW,→,sword,4369,clubs (in cards),1015,Modern Greek,239,Modern Greek,239,sword,clubs (in cards),σπαθί,σπαθί
28818,shift0691,Polysemy,10,ACCEPTED,?,"to strike, hit",3234,to shoot,3149,Modern Greek,239,Modern Greek,239,"to hit, to beat",to shoot (hunter),βαρῶ,βαρῶ
28832,shift0996,Polysemy,1,ACCEPTED,?,to heat up,2760,to deceive,2494,Ancient Greek,116,Ancient Greek,116,"to heat, to warm up","to deceive, to cheat",θάλπω,θάλπω
28890,shift1004,Derivation,5,ACCEPTED,?,mat,603,whore,67,Ancient Greek,116,Ancient Greek,116,"horsecloth, saddle-cloth",whore,κασᾶς,κασαλβάς
28999,shift4991,Polysemy,1,NEW,—,strength,4301,price,459,Ancient Greek,116,Ancient Greek,116,strength,"price, value",δύναμις,δύναμις
29013,shift1333,Polysemy,1,ACCEPTED,←,hare (Lepus),1562,coward,1123,Ancient Greek,116,Ancient Greek,116,hare,"timid, fearful",πτώξ,πτώξ
29148,shift7495,Derivation,1,ACCEPTED,→,pig (Sus scrofa),369,porcupine,443,Ancient Greek,116,Ancient Greek,116,pig (Sus scrofa),porcupine,χοῖρος,ἀκανθόχοιρος
29288,shift6004,Polysemy,5,ACCEPTED,←,fishbone,1301,awn,2069,Ancient Greek,116,Ancient Greek,116,spine or prickle of a fish,awn,ἀθήρ,ἀθήρ
29315,shift3317,Polysemy,3,ACCEPTED,→,&lt;dish&gt;,4374,"disorder, mess",4446,Ancient Greek,116,Ancient Greek,116,"potion, posset, containing barleygroats, grated cheese, and Pramnian wine","mixture, medley",κυκεών,κυκεών
29336,shift1211,Polysemy,5,ACCEPTED,→,to feel thirsty,2621,to want,3353,Ancient Greek,116,Ancient Greek,116,to feel thirsty,"to long for, to desire",dipsao,dipsao
29396,shift1075,Derivation,1,ACCEPTED,?,to shine,3144,to seem,3122,Ancient Greek,116,Ancient Greek,116,to shine,"to seem, to appear",φαίνω,φαίνομαι
29399,shift8224,Derivation,2,ACCEPTED,→,activity,1940,"commerce, business",1046,Ancient Greek,116,Ancient Greek,116,activity,trade,πρᾶξις,πρᾶξις
29431,shift6904,Polysemy,2,ACCEPTED,→,monster (supernatural),705,whale,51,Ancient Greek,116,Ancient Greek,116,sea-monster or huge fish,spouting cetacea,κῆτος,κῆτος
29468,shift3627,Polysemy,1,ACCEPTED,→,to sit,3160,to be situated,2299,Ancient Greek,116,Ancient Greek,116,to sit,"to be somewhere, to dwell",θακέω,θακέω
29477,shift2029,Polysemy,3,ACCEPTED,→,to stand up,3216,to be resurrected,2295,Ancient Greek,116,Ancient Greek,116,to stand up,to rise from the dead,ἀνίστασθαι,ἀνίστασθαι
29504,shift3351,Polysemy,1,NEW,→,muscle,747,strength,4301,Ancient Greek,116,Ancient Greek,116,muscle,"force, power",ἴς,ἴς
29578,shift5222,Polysemy,1,ACCEPTED,→,sky,4106,bed canopy,3550,Modern Greek,239,Modern Greek,239,sky,bed canopy,ουρανός,ουρανός
29710,shift5218,Derivation,8,NEW,→,head,1578,chapter (of a book),943,Ancient Greek,116,Ancient Greek,116,head,chapter (of a book),κεφαλή,κεφάλαιος
29717,shift0032,Polysemy,1,ACCEPTED,—,"to get, obtain",2691,to wait,3347,Ancient Greek,116,Ancient Greek,116,"to get, to receive",to wait (for),δέχομαι,δέχομαι
29784,shift3360,Polysemy,1,ACCEPTED,→,horn,1657,branch (of a river),3671,Ancient Greek,116,Ancient Greek,116,horn,armlet,κέρας,κέρας
29825,shift1394,Polysemy,4,ACCEPTED,→,donkey,4463,fool,1336,Ancient Greek,116,Ancient Greek,116,baggage donkey,fool,κανθήλιος,κανθήλιος
29876,shift2638,Polysemy,2,ACCEPTED,→,smoke,4130,arrogance,2031,Ancient Greek,116,Ancient Greek,116,smoke,arrogance,τῦφος,τῦφος
29883,shift2651,Polysemy,1,ACCEPTED,→,to feel hunger,2616,to want,3353,Ancient Greek,116,Ancient Greek,116,to be hungry,"to desire, to long for",peinao,peinao
29954,shift3388,Polysemy,1,NEW,→,"to pull, to draw",3018,to torture,3305,Ancient Greek,116,Ancient Greek,116,"to stretch, draw tight","to rack, torture",κατατείνω,κατατείνω
29997,shift8464,Polysemy,2,ACCEPTED,→,draught animal,4478,husband / wife,1695,Ancient Greek,116,Ancient Greek,116,yoked together,spouse (husband or wife),σύζυγος,σύζυγος
30041,shift4421,Derivation,14,ACCEPTED,→,almond,1973,tonsil,3401,Modern Greek,239,Modern Greek,239,almond,tonsil,αμύγδαλο,αμυγδαλή
30053,shift0815,Derivation,2,ACCEPTED,→,white,62,poplar (Populus alba),440,Ancient Greek,116,Ancient Greek,116,white,poplar (Populus alba),λευκός,λεύκη
30061,shift0674,Polysemy,8,ACCEPTED,→,&lt;artiodactyl (even-toed animal)&gt;,1917,woman,109,Modern Greek,239,Modern Greek,239,mare,large and ungraceful woman,φοράδα,φοράδα
30073,shift1361,Polysemy,6,ACCEPTED,←,to change (tr.),2417,to change clothes,2418,Ancient Greek,116,Ancient Greek,116,to exchange (amth for amth),to change clothes (med.),μεταμφτιάζω,μεταμφτιάζω
30075,shift6406,Derivation,1,ACCEPTED,→,hair,1541,comet,1043,Ancient Greek,116,Ancient Greek,116,hair,comet,κόμη,κομήτης
30178,shift4017,Polysemy,1,ACCEPTED,→,white,62,bare (feet),3513,Ancient Greek,116,Ancient Greek,116,white,bare (feet),λευκός,λευκός
30186,shift0489,Polysemy,5,ACCEPTED,→,mouth,735,speech,4193,Ancient Greek,116,Ancient Greek,116,mouth,"speech, utterance",στόμα,στόμα
30322,shift4156,Polysemy,1,ACCEPTED,—,to move away,2927,to abolish,2209,Ancient Greek,116,Ancient Greek,116,to move away,to abolish,αἴρω,αἴρω
30323,shift4156,Polysemy,2,ACCEPTED,—,to move away,2927,to abolish,2209,Ancient Greek,116,Ancient Greek,116,to move away,to abolish,ἀναιρέω,ἀναιρέω
30386,shift1310,Polysemy,1,ACCEPTED,→,to press,3002,"to restrain, control one’s feelings",3077,Ancient Greek,116,Ancient Greek,116,to press,to restrain,πιέζω,πιέζω
30528,shift6123,Derivation,2,ACCEPTED,→,third,2175,Tuesday,3458,Modern Greek,239,Modern Greek,239,third,Tuesday,τρίτος,Τρίτη
30547,shift3382,Polysemy,1,NEW,→,sweat,4357,work (n.),121,Ancient Greek,116,Ancient Greek,116,"sweat, perspiration",hard work,ἱδρώς,ἱδρώς
30574,shift4981,Polysemy,3,NEW,—,berry,3582,nipple (part of the breast),1868,Modern Greek,239,Modern Greek,239,berry of a grape,nipple (part of the breast),ράγα / ρώγα,ράγα / ρώγα
30622,shift8611,Polysemy,3,NEW,→,ray,1438,lightning,215,Ancient Greek,116,Ancient Greek,116,ray,radius (geometry),ἀκτίς,ἀκτίς
30675,shift4010,Derivation,1,ACCEPTED,→,father,1242,ancestor,1990,Ancient Greek,116,Ancient Greek,116,father,ancestor,πᾰτήρ,πατέρες (pl.)
30695,shift4010,Derivation,21,ACCEPTED,→,father,1242,ancestor,1990,Modern Greek,239,Modern Greek,239,father,ancestors,πατέρας,πατέρες
30719,shift0067,Polysemy,5,ACCEPTED,→,"light, bright, clear",212,comprehensible,1074,Ancient Greek,116,Ancient Greek,116,"clean (snow), clear (air)",clear,εὐαγής,εὐαγής
30773,shift5782,Derivation,2,ACCEPTED,←,"shoulder-blade, scapula",4055,shoulder,4053,Ancient Greek,116,Ancient Greek,116,"shoulder-blade, scapula",shoulder,ὠμοπλάτη,ὦμος
30788,shift3387,Polysemy,1,NEW,→,to play (a musical instrument),2980,to practice witchcraft,2994,Ancient Greek,116,Ancient Greek,116,to play on the flute,to charm by flute-playing (also metaphorical),καταυλέω,καταυλέω
30800,shift3135,Polysemy,1,ACCEPTED,—,wing,92,feather,1250,Ancient Greek,116,Ancient Greek,116,wing,feather,πτερόν,πτερόν
