ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
27048,shift1413,Polysemy,3,ACCEPTED,→,sharp,4022,"keen (of senses, mind)",1704,Lithuanian,126,Lithuanian,126,sharp,island,aštrùs,aštrùs
27157,shift7163,Polysemy,2,NEW,→,cuckoo,1154,May,609,Lithuanian,126,Lithuanian,126,cuckoo,May,gegužė̃,gegužė̃
27242,shift2375,Polysemy,1,NEW,→,"to spring, jump",3201,to copulate,2462,Lithuanian,126,Lithuanian,126,to jump,"to mate, to copulate",žáisti,žáisti
27268,shift1398,Derivation,3,ACCEPTED,→,cat,905,catnip (Nepeta cataria),913,Lithuanian,126,Lithuanian,126,NA,Nepeta cataria,katė,katžolė
27565,shift2097,Polysemy,2,ACCEPTED,?,to cut,2484,to blunt,2359,Lithuanian,126,Lithuanian,126,"to chop off, to clip",to abate (smth sharp),atkir˜sti,atkir˜sti
27566,shift2097,Polysemy,3,ACCEPTED,?,to cut,2484,to blunt,2359,Lithuanian,126,Lithuanian,126,to cut (with a blunt knife),to abate (smth sharp),atbrìzinti,atbrìzinti
27879,shift1374,Derivation,5,ACCEPTED,→,&lt;thorny plant&gt;,2101,goldfinch (Carduelis),812,Lithuanian,126,Lithuanian,126,thistle,goldfinch,dagy˜s,dagìlis
27997,shift0071,Polysemy,2,ACCEPTED,—,part,306,destiny,4419,Lithuanian,126,Lithuanian,126,share,destiny,dalìs,dalìs
28114,shift0068,Derivation,94,NEW,—,morning,712,tomorrow,3398,Latvian,140,Latvian,140,morning,tomorrow,rīts,rīt
28115,shift0068,Derivation,95,NEW,—,morning,712,tomorrow,3398,Lithuanian,126,Lithuanian,126,morning,tomorrow,rýtas,rytoj
28206,shift3401,Derivation,16,ACCEPTED,→,frog,1384,"tortoise, turtle",3414,Latvian,140,Latvian,140,frog,"tortoise, turtle",rupucis,bruņurupucis
28414,shift8129,Internal cognates,1,ACCEPTED,→,birch,3592,June,1200,Lithuanian,126,Lithuanian,126,birch,June,beržas,biržẽlis
28722,shift0633,Derivation,8,ACCEPTED,→,copper,1093,brass,3674,Lithuanian,126,Lithuanian,126,copper,brass,vãris,žalvaris
28838,shift0513,Polysemy,4,ACCEPTED,?,mane,578,"mountain ridge, edge",731,Lithuanian,126,Lithuanian,126,nape,mountain range,keterà,keterà
28970,shift8402,Polysemy,3,ACCEPTED,→,shive,4041,October,4521,Lithuanian,126,Lithuanian,126,shive,October,spãlis,spãlis
29239,shift0411,Polysemy,5,ACCEPTED,—,wheel,54,vehicle,3753,Latvian,140,Latvian,140,wheel,carriage,rats,rats
29407,shift2385,Derivation,1,ACCEPTED,→,to croak,2476,to predict misfortune,2998,Lithuanian,126,Lithuanian,126,to croak,"to croak, to draw down (trouble)",krañkti,iškrañkti (bėdą)
29807,shift1865,Polysemy,2,NEW,?,to go around,2699,to deceive,2494,Lithuanian,126,Lithuanian,126,to wrap; to make a circle,to deceive,apsùkti,apsùkti
30215,shift2731,Polysemy,2,ACCEPTED,—,"board, plank",3638,"table, desk",2107,Latvian,140,Latvian,140,piece of board,table,galds,galds
30357,shift2111,Polysemy,4,ACCEPTED,?,rooster,1497,bully,3718,Lithuanian,126,Lithuanian,126,rooster,bully,gaidy˜s,gaidy˜s
30469,shift1727,Derivation,2,ACCEPTED,?,cucumber,1155,bourrache (Borago),3658,Lithuanian,126,Lithuanian,126,cucumber,common borage,agur˜kas,agur˜klė
30626,shift2480,Derivation,1,ACCEPTED,→,"firm, solid",1296,fortress,1353,Lithuanian,126,Lithuanian,126,firm,fortress,tvirtas,tvirtovė
30629,shift2480,Derivation,4,ACCEPTED,→,"firm, solid",1296,fortress,1353,Latvian,140,Latvian,140,"hard, firm",fortress,ciets,cietuoksnis
30715,shift0067,Polysemy,1,ACCEPTED,—,"light, bright, clear",212,comprehensible,1074,Lithuanian,126,Lithuanian,126,"light, clear",clear,áiškus,áiškus
30747,shift1726,Derivation,4,ACCEPTED,→,eye,3890,eyebright (Euphrasia officinalis),3896,Lithuanian,126,Lithuanian,126,eye,eyebright,akís,akišveitė
30856,shift7477,Derivation,5,ACCEPTED,→,fish,1300,osprey (Pandion haliaёtus),4565,Latvian,140,Latvian,140,fish,osprey (Pandion haliaёtus),zivs,zivjērglis
30886,shift5625,Derivation,2,ACCEPTED,→,cow,1122,ladybird,145,Lithuanian,126,Lithuanian,126,cow,ladybird,karvytė,dievo karvytė
31073,shift7448,Polysemy,23,ACCEPTED,→,knot,1723,unit of speed,529,Latvian,140,Latvian,140,knot,unit of speed,mezgls,mezgls
31074,shift7448,Polysemy,24,ACCEPTED,→,knot,1723,unit of speed,529,Lithuanian,126,Lithuanian,126,knot,unit of speed,mazgas,mazgas
31231,shift6903,Derivation,1,NEW,→,wave,26,whale,51,Lithuanian,126,Lithuanian,126,wave,whale,bangà,banginis
31382,shift6117,Derivation,2,ACCEPTED,→,third,2175,Wednesday,39,Latvian,140,Latvian,140,third,Wednesday,trešo,trešdiena
31387,shift6117,Derivation,7,ACCEPTED,→,third,2175,Wednesday,39,Lithuanian,126,Lithuanian,126,third,Wednesday,trečia,trečiadienis
31411,shift6116,Derivation,5,ACCEPTED,→,second (num.),3979,Tuesday,3458,Latvian,140,Latvian,140,second (num.),Tuesday,ùotrs,uotrdiena
31422,shift6116,Derivation,16,ACCEPTED,→,second (num.),3979,Tuesday,3458,Lithuanian,126,Lithuanian,126,second (num.),Tuesday,antra,antradienis
31693,shift8432,Polysemy,6,ACCEPTED,→,ram,1425,Aries,2026,Latvian,140,Latvian,140,ram,Aries,auns,Auns
31694,shift8432,Polysemy,7,ACCEPTED,→,ram,1425,Aries,2026,Lithuanian,126,Lithuanian,126,ram,Aries,ãvinas,ãvinas
